time,barrier_z,soliton_z,gamma
24.400000000000002,-9.999801030585761,-5.6268425,1.9
24.6,-9.999808774991948,-5.5905075,1.9
24.8,-9.999817601278084,-5.566708,1.9
25.0,-9.999827437196936,-5.515164,1.9
25.2,-9.999838202843875,-5.4701858,1.9
25.400000000000002,-9.999849811356086,-5.4595733,1.9
25.6,-9.999862169667347,-5.4010315,1.9
25.8,-9.999875179303682,-5.3663883,1.9
26.0,-9.99988873722481,-5.355589,1.9
26.2,-9.999902736680205,-5.334939,1.9
26.400000000000002,-9.99991706809242,-5.3071866,1.9
26.6,-9.999931619950079,-5.247794,1.9
26.8,-9.999946279713559,-5.2342796,1.9
27.0,-9.99996093473228,-5.2033296,1.9
27.2,-9.99997547313938,-5.141181,1.9
27.400000000000002,-9.999989784749102,-5.1161,1.9
27.6,-10.000003761909891,-5.0844274,1.9
27.8,-10.000017300339556,-5.039561,1.9
28.0,-10.000030299941415,-4.972924,1.9
28.2,-10.000042665554906,-4.9383917,1.9
28.400000000000002,-10.000054307698727,-4.896539,1.9
28.6,-10.000065143230497,-4.8476768,1.9
28.8,-10.000075095968793,-4.7769513,1.9
29.0,-10.000084097251428,-4.720061,1.9
29.2,-10.000092086421235,-4.67495,1.9
29.400000000000002,-10.000099011267544,-4.6208787,1.9
29.6,-10.000104828363737,-4.554837,1.9
29.8,-10.00010950337136,-4.4978766,1.9
30.0,-10.00011301123089,-4.440616,1.9
30.2,-10.000115336302542,-4.392118,1.9
30.400000000000002,-10.000116472416554,-4.3581543,1.9
30.6,-10.00011642284732,-4.266323,1.9
30.8,-10.000115200226036,-4.2002254,1.9
31.0,-10.00011282635422,-4.171229,1.9
31.2,-10.000109331982527,-4.1530704,1.9
31.400000000000002,-10.000104756475409,-4.0856085,1.9
31.6,-10.000099147462652,-4.0063543,1.9
31.8,-10.000092560372655,-3.9466233,1.9
32.0,-10.000085057964007,-3.9407785,1.9
32.2,-10.000076709745525,-3.8981504,1.9
32.4,-10.000067591385886,-3.8639014,1.9
32.6,-10.000057784059333,-3.8180535,1.9
32.8,-10.000047373742087,-3.7909918,1.9
33.0,-10.00003645053516,-3.6874568,1.9
33.2,-10.000025107858166,-3.6469445,1.9
33.4,-10.00001344174352,-3.6720276,1.9
33.6,-10.0000015499961,-3.640835,1.9
33.8,-9.999989531451643,-3.5799973,1.9
34.0,-9.999977485130136,-3.4626336,1.9
34.2,-9.999965509477212,-3.4143362,1.9
34.4,-9.999953701578379,-3.4193685,1.9
34.6,-9.99994215637487,-3.4034727,1.9
34.800000000000004,-9.99993096594531,-3.342717,1.9
35.0,-9.999920218766174,-3.2825234,1.9
35.2,-9.999909999076083,-3.1780427,1.9
35.4,-9.999900386202707,-3.1406364,1.9
35.6,-9.99989145400654,-3.0847838,1.9
35.800000000000004,-9.999883270303286,-3.0348928,1.9
36.0,-9.999875896397654,-2.982079,1.9
36.2,-9.999869386611216,-2.9281912,1.9
36.4,-9.999863787928135,-2.8569624,1.9
36.6,-9.999859139661742,-2.7658632,1.9
36.800000000000004,-9.999855473222066,-2.6825628,1.9
37.0,-9.999852811915405,-2.605528,1.9
37.2,-9.999851170842522,-2.5487788,1.9
37.4,-9.999850556833662,-2.4888337,1.9
37.6,-9.999850968467365,-2.4275687,1.9
37.800000000000004,-9.999852396145231,-2.3335788,1.9
38.0,-9.999854822220696,-2.242629,1.9
38.2,-9.999858221216506,-2.1737657,1.9
38.4,-9.999862560068918,-2.0952647,1.9
38.6,-9.999867798459869,-2.0208414,1.9
